index,chapter,dim0,dim1,book
0,1,0.4160949354351672,0.07748872944908627,Genesis
1,2,0.314419707511496,0.021048029105521098,Genesis
2,3,0.14550362649569995,-0.0375836220143332,Genesis
3,4,0.11693351083585443,-0.03970027141183702,Genesis
4,5,0.2601349611001574,0.03973788323076725,Genesis
5,6,0.5574098293906052,0.14563662956026852,Genesis
6,7,0.6620790413540606,0.19561146711552643,Genesis
7,8,0.5901366639705555,0.17568113160360802,Genesis
8,9,0.4842332450632642,0.14381154354938458,Genesis
9,10,0.24192823455050888,0.03405086241338943,Genesis
10,11,0.21305117561768866,0.016719046746729655,Genesis
11,12,0.015231003621263922,0.06660943777637628,Genesis
12,13,0.1320459789471252,0.03021487576907868,Genesis
13,14,0.14882922111919822,-0.0004337467695322234,Genesis
14,15,0.11293418532262049,0.0008017341793903195,Genesis
15,16,0.09270217207502231,-0.11135569048670355,Genesis
16,17,0.15342550345147446,-0.17596705690579106,Genesis
17,18,0.011549446098659258,-0.1564879077180426,Genesis
18,19,0.030102642197084382,0.01379544179928369,Genesis
19,20,-0.044241979289629384,-0.22049366162883532,Genesis
20,21,-0.001043630194802122,-0.3164430364794394,Genesis
21,22,-0.01801784588706603,-0.28245090219115443,Genesis
22,23,-0.03297157627764996,-0.1458291900352043,Genesis
23,24,-0.07402132465560843,-0.20308110763578024,Genesis
24,25,-0.07901792990373163,-0.3490216871860281,Genesis
25,26,-0.059930501042667596,-0.23519956872760012,Genesis
26,27,-0.21598849856888055,-0.23299332946199014,Genesis
27,28,-0.14461325055433027,-0.3008071342851817,Genesis
28,29,-0.18793571191778954,-0.27828372844657173,Genesis
29,30,-0.20932926602006588,-0.27935207465679135,Genesis
30,31,-0.21345962079510356,-0.21879066360781738,Genesis
31,32,-0.19796220855209457,-0.23012704270466885,Genesis
32,33,-0.19419238849740253,-0.16108403650394373,Genesis
33,34,-0.08109472385260426,-0.11087415903512413,Genesis
34,35,-0.1483003264529386,-0.22359269525529774,Genesis
35,36,0.04570287128505899,-0.16843956583728809,Genesis
36,37,-0.26503533457582584,0.27576100119288494,Genesis
37,38,-0.04084757285095394,-0.06600612634093214,Genesis
38,39,-0.12985530784304455,0.23109961456545502,Genesis
39,40,-0.14174301529495767,0.38816822716625915,Genesis
40,41,-0.12037173679682012,0.41802316065913375,Genesis
41,42,-0.2802046839070319,0.33377134839698974,Genesis
42,43,-0.24693186006985096,0.2512103316486196,Genesis
43,44,-0.18910121246554146,0.16888808122899662,Genesis
44,45,-0.3155190961663827,0.440296148666722,Genesis
45,46,-0.21016161308564732,0.0952264580893711,Genesis
46,47,-0.2995073245480103,0.43246124075899567,Genesis
47,48,-0.20317064981824853,0.1663043686773764,Genesis
48,49,-0.07642575645226991,-0.005906332174867828,Genesis
49,50,-0.3234520091056152,0.38788754415154036,Genesis
0,1,-0.1215714533216073,0.01116079943656815,Exodus
1,2,-0.18015661938268052,0.00949298178081832,Exodus
2,3,-0.2916899728396006,-0.09167880288889824,Exodus
3,4,-0.28750122389367283,-0.1627331190632611,Exodus
4,5,-0.22687710200050507,-0.032150359451440666,Exodus
5,6,-0.18138707263578394,-0.09834365643545841,Exodus
6,7,-0.24529722737539,-0.1515768137362692,Exodus
7,8,-0.3008891148528149,-0.15122617031263985,Exodus
8,9,-0.26562790818441,-0.031429241589348816,Exodus
9,10,-0.3575797837242955,-0.09447530857482556,Exodus
10,11,-0.3018763277207179,-0.03715139880459232,Exodus
11,12,-0.18775935920172498,0.11227263105533761,Exodus
12,13,-0.23612160951401873,0.13953186277455631,Exodus
13,14,-0.21736497767799037,-0.13470224431802807,Exodus
14,15,-0.14923863418226885,-0.09129458592987509,Exodus
15,16,-0.20262119376731585,-0.08415739557162692,Exodus
16,17,-0.17824291074008602,-0.14537301037973605,Exodus
17,18,-0.17543183557383768,-0.04182436287589957,Exodus
18,19,-0.2309889962454919,-0.14624271351893173,Exodus
19,20,-0.1539922619852122,0.21163292925549207,Exodus
20,21,0.011784757272876478,0.7504238802113677,Exodus
21,22,0.026698313211273784,0.7660772161581203,Exodus
22,23,-0.14919769599102908,0.4393690836635452,Exodus
23,24,-0.2120508696899207,-0.20271966528694105,Exodus
24,25,0.5158188767877451,-0.057183245683420966,Exodus
25,26,0.5973833045565042,-0.048942430394347994,Exodus
26,27,0.569151811499548,0.007727836927285419,Exodus
27,28,0.38763254481685844,-0.07848839925128026,Exodus
28,29,0.15220457354210917,0.14746102882194548,Exodus
29,30,0.29808937081321324,-0.007338859204389278,Exodus
30,31,0.1804398882428979,-0.051066827134568664,Exodus
31,32,-0.2533394023732655,-0.09614536777720596,Exodus
32,33,-0.1666287234465053,-0.0879953873325774,Exodus
33,34,-0.2208642310995936,0.06660065756275627,Exodus
34,35,0.3622205707575908,-0.14627045809191322,Exodus
35,36,0.5431322140479782,-0.07885003584460556,Exodus
36,37,0.5559318328459872,-0.0542323614330299,Exodus
37,38,0.5813625887024537,-0.005884114939372689,Exodus
38,39,0.4669171132555908,-0.1716260798484515,Exodus
39,40,0.24552874706711203,-0.08064849197485713,Exodus
0,1,-0.493376617868564,-0.004984461921260404,3
1,2,-0.3039133420898491,-0.0016959812929770027,3
2,3,-0.4570982399164614,-0.07631064256945745,3
3,4,-0.4488925324687009,0.014096609369821324,3
4,5,-0.10441732133725777,0.1994948557974789,3
5,6,-0.36284621187929494,0.010984523356397663,3
6,7,-0.31982765942654917,-0.057863525531821,3
7,8,-0.35584970768020335,-0.10585284654770638,3
8,9,-0.5132322815320141,-0.10640605187932284,3
9,10,-0.1566444198350449,-0.21293715451539344,3
10,11,0.4073213479352614,0.3085561286809877,3
11,12,0.044381267029669755,0.34105498168600373,3
12,13,0.1912872710724159,0.5558651268083729,3
13,14,-0.06826812026170678,0.37859352878275043,3
14,15,0.3094065414880577,0.5067454581898113,3
15,16,-0.1543566288365872,-0.03375519139299682,3
16,17,0.019840027296890484,-0.07432456801886585,3
17,18,0.5262627319672014,-0.30771110323229983,3
18,19,0.2874429217538396,-0.28374427345550596,3
19,20,0.4190249126290034,-0.30920260292765384,3
20,21,0.2926539649466851,-0.21491774037080374,3
21,22,0.16717103541848255,-0.09130406535242638,3
22,23,0.02518177671308499,-0.045327304089765735,3
23,24,0.07874035398896387,-0.21621038103978502,3
24,25,0.41147389148360164,-0.09909588638723192,3
25,26,0.2885905133841024,-0.14001714032774704,3
26,27,0.26994452602497276,0.06626970818139692,3
0,1,-0.11215210337320905,0.6274349981583682,4
1,2,-0.13060641403589468,0.5088881027050057,4
2,3,-0.04238295983054073,0.4489993771203957,4
3,4,-0.01194306533879057,0.43295169703218495,4
4,5,0.16950219663968116,-0.17242721854302936,4
5,6,0.4911166400151038,-0.11098494813222887,4
6,7,0.5434478981063392,0.1462121471566136,4
7,8,0.14986364830805532,0.11618211816117996,4
8,9,-0.014511990963671766,-0.11448163696400232,4
9,10,-0.1573723375921958,0.03235319871111657,4
10,11,-0.1517224307778563,-0.23907432280688706,4
11,12,-0.11649785934907211,-0.2102430763754548,4
12,13,-0.3018813947597092,0.05303207295688109,4
13,14,-0.2839243530187888,-0.27750012042152955,4
14,15,0.4988728770918984,-0.14914256603050968,4
15,16,-0.14595505407167544,-0.13676331656982,4
16,17,-0.10806757798006886,-0.009816185278896668,4
17,18,0.24518211950068527,0.09376798663146951,4
18,19,0.1098029189155671,-0.11712024667620398,4
19,20,-0.2697861828115615,-0.2413480237917107,4
20,21,-0.26674867806989777,-0.23812245790709977,4
21,22,-0.1334672803333323,-0.379812050441442,4
22,23,0.06397897643859476,-0.34195191583369383,4
23,24,-0.11780489605416387,-0.3342410806518119,4
24,25,-0.1382272683426927,-0.07711335346409019,4
25,26,-0.1076269545729792,0.5038248312736009,4
26,27,-0.2292448072800745,-0.0798716603320526,4
27,28,0.7692961558602716,-0.04177364878453608,4
28,29,0.7672867000507807,-0.011770262665224468,4
29,30,0.03498937684765541,-0.052007410995095024,4
30,31,-0.019319186387406945,0.12946520075223253,4
